date,value,event,snssais,numOfUes,numOfUesReg
2023-05-01 00:00:00,1.9324096886311821,SLICE_LOAD_LEVE,SLICE-1,309,500
2023-05-01 00:05:00,2.194691251229874,SLICE_LOAD_LEVE,SLICE-1,351,500
2023-05-01 00:10:00,2.0866079067127234,SLICE_LOAD_LEVE,SLICE-1,333,500
2023-05-01 00:15:00,2.062738348778418,SLICE_LOAD_LEVE,SLICE-1,330,500
2023-05-01 00:20:00,2.144170693983187,SLICE_LOAD_LEVE,SLICE-1,343,500
2023-05-01 00:25:00,2.3060914511708597,SLICE_LOAD_LEVE,SLICE-1,368,500
2023-05-01 00:30:00,2.035989067807872,SLICE_LOAD_LEVE,SLICE-1,325,500
2023-05-01 00:35:00,2.173817825538829,SLICE_LOAD_LEVE,SLICE-1,347,500
2023-05-01 00:40:00,2.3025737476528474,SLICE_LOAD_LEVE,SLICE-1,368,500
2023-05-01 00:45:00,2.6989268794725545,SLICE_LOAD_LEVE,SLICE-1,431,500
2023-05-01 00:50:00,2.4206069559347734,SLICE_LOAD_LEVE,SLICE-1,387,500
2023-05-01 00:55:00,2.183801928639712,SLICE_LOAD_LEVE,SLICE-1,349,500
2023-05-01 01:00:00,2.041657361284084,SLICE_LOAD_LEVE,SLICE-1,326,500
2023-05-01 01:05:00,2.357154976522342,SLICE_LOAD_LEVE,SLICE-1,377,500
2023-05-01 01:10:00,2.3502728329570752,SLICE_LOAD_LEVE,SLICE-1,376,500
2023-05-01 01:15:00,2.0463009605084013,SLICE_LOAD_LEVE,SLICE-1,327,500
2023-05-01 01:20:00,2.4807227077549623,SLICE_LOAD_LEVE,SLICE-1,396,500
2023-05-01 01:25:00,2.1670577980020815,SLICE_LOAD_LEVE,SLICE-1,346,500
2023-05-01 01:30:00,2.4635272526859953,SLICE_LOAD_LEVE,SLICE-1,394,500
2023-05-01 01:35:00,2.180610821821306,SLICE_LOAD_LEVE,SLICE-1,348,500
2023-05-01 01:40:00,2.294416201083564,SLICE_LOAD_LEVE,SLICE-1,367,500
2023-05-01 01:45:00,1.8475416109738751,SLICE_LOAD_LEVE,SLICE-1,295,500
2023-05-01 01:50:00,2.2114459386221084,SLICE_LOAD_LEVE,SLICE-1,353,500
2023-05-01 01:55:00,1.7639596507234931,SLICE_LOAD_LEVE,SLICE-1,282,500
2023-05-01 02:00:00,2.1227442822217366,SLICE_LOAD_LEVE,SLICE-1,339,500
2023-05-01 02:05:00,2.1956082543170314,SLICE_LOAD_LEVE,SLICE-1,351,500
2023-05-01 02:10:00,1.9877277169551626,SLICE_LOAD_LEVE,SLICE-1,318,500
2023-05-01 02:15:00,2.117348748677359,SLICE_LOAD_LEVE,SLICE-1,338,500
2023-05-01 02:20:00,2.2433418141273687,SLICE_LOAD_LEVE,SLICE-1,358,500
2023-05-01 02:25:00,2.099026061125191,SLICE_LOAD_LEVE,SLICE-1,335,500
2023-05-01 02:30:00,2.5288222175827353,SLICE_LOAD_LEVE,SLICE-1,404,500
2023-05-01 02:35:00,2.054444580567356,SLICE_LOAD_LEVE,SLICE-1,328,500
2023-05-01 02:40:00,2.4367449125228378,SLICE_LOAD_LEVE,SLICE-1,389,500
2023-05-01 02:45:00,2.1110787668116515,SLICE_LOAD_LEVE,SLICE-1,337,500
2023-05-01 02:50:00,1.912410978521076,SLICE_LOAD_LEVE,SLICE-1,305,500
2023-05-01 02:55:00,2.099084592187558,SLICE_LOAD_LEVE,SLICE-1,335,500
2023-05-01 03:00:00,2.6703197222444413,SLICE_LOAD_LEVE,SLICE-1,427,500
2023-05-01 03:05:00,1.9573443575302976,SLICE_LOAD_LEVE,SLICE-1,313,500
2023-05-01 03:10:00,2.5044180643905563,SLICE_LOAD_LEVE,SLICE-1,400,500
2023-05-01 03:15:00,2.1201936704387148,SLICE_LOAD_LEVE,SLICE-1,339,500
2023-05-01 03:20:00,2.4001377063384153,SLICE_LOAD_LEVE,SLICE-1,384,500
2023-05-01 03:25:00,1.9844168996478309,SLICE_LOAD_LEVE,SLICE-1,317,500
2023-05-01 03:30:00,2.2536536909844664,SLICE_LOAD_LEVE,SLICE-1,360,500
2023-05-01 03:35:00,2.0041430365760515,SLICE_LOAD_LEVE,SLICE-1,320,500
2023-05-01 03:40:00,2.1645828547707677,SLICE_LOAD_LEVE,SLICE-1,346,500
2023-05-01 03:45:00,2.3297735005383213,SLICE_LOAD_LEVE,SLICE-1,372,500
2023-05-01 03:50:00,2.2347829632165253,SLICE_LOAD_LEVE,SLICE-1,357,500
2023-05-01 03:55:00,2.1504003783804873,SLICE_LOAD_LEVE,SLICE-1,344,500
2023-05-01 04:00:00,2.5708606654554087,SLICE_LOAD_LEVE,SLICE-1,411,500
2023-05-01 04:05:00,1.9131270731399246,SLICE_LOAD_LEVE,SLICE-1,306,500
2023-05-01 04:10:00,2.455998242386464,SLICE_LOAD_LEVE,SLICE-1,392,500
2023-05-01 04:15:00,2.0541760370481494,SLICE_LOAD_LEVE,SLICE-1,328,500
2023-05-01 04:20:00,2.0639452273411774,SLICE_LOAD_LEVE,SLICE-1,330,500
2023-05-01 04:25:00,2.258387489034105,SLICE_LOAD_LEVE,SLICE-1,361,500
2023-05-01 04:30:00,2.0030161891964724,SLICE_LOAD_LEVE,SLICE-1,320,500
2023-05-01 04:35:00,1.9207009084820723,SLICE_LOAD_LEVE,SLICE-1,307,500
2023-05-01 04:40:00,2.075760310650318,SLICE_LOAD_LEVE,SLICE-1,332,500
2023-05-01 04:45:00,2.382953286159365,SLICE_LOAD_LEVE,SLICE-1,381,500
2023-05-01 04:50:00,2.3627936553270557,SLICE_LOAD_LEVE,SLICE-1,378,500
2023-05-01 04:55:00,2.1241447786800443,SLICE_LOAD_LEVE,SLICE-1,339,500
2023-05-01 05:00:00,2.360393909045712,SLICE_LOAD_LEVE,SLICE-1,377,500
2023-05-01 05:05:00,2.2079522813763273,SLICE_LOAD_LEVE,SLICE-1,353,500
2023-05-01 05:10:00,2.005578952130831,SLICE_LOAD_LEVE,SLICE-1,320,500
2023-05-01 05:15:00,2.0682553869894846,SLICE_LOAD_LEVE,SLICE-1,330,500
